ExperimentID,FrameID,Timestamp,CurrentFrameID,ReferenceFrameID,MiddleFrameID,Similarity,SimilarityType,MatchingPoints,Confidence,Decision,MemoryState,MemoryID,MemorySize,ReplaceCount,KeepCount,Runtime,CPUTime,GPUTime,VRAM,FPS,GeometryScore,DepthConsistency,CameraMotion,ActionEmbedding,ActionType,ActionMagnitude,FusionWeight,FusionEntropy,FusionDecision,SemanticScore,SemanticConfidence,PhysicalScore,PhysicalConfidence,EvidenceType,PolicyConfidence,DecisionConfidence,ExtraFields
Experiment001,9,1785376775.4931228,9,2,5,0.9848662940785289,depth,225280,0.9848662940785289,physmem_keep,0 1 2 6 7 8 9 10 11,stableworld_tri_9,9,1,6,621.7161018867046,,,,,0.9848662940785289,,,,Turn Left,0.6666666865348816,0.8031845985969799,,KEEP,0.7689893245697021,,,,depth,0.9848662940785289,0.9848662940785289,"{""frame_id"": 9, ""current_frame_id"": 9, ""similarity"": 0.9848662940785289, ""similarity_type"": ""depth"", ""matching_points"": 225280, ""confidence"": 0.9848662940785289, ""decision"": ""physmem_keep"", ""memory_state"": [0, 1, 2, 6, 7, 8, 9, 10, 11], ""memory_id"": ""stableworld_tri_9"", ""memory_size"": 9, ""replace_count"": 1, ""keep_count"": 6, ""runtime"": 621.7161018867046}"
Experiment001,12,1785376776.6835978,12,2,8,0.9783731456845999,depth,225280,0.9783731456845999,physmem_evict,6 7 8 9 10 11 12 13 14,stableworld_tri_9,9,1,6,145.03909810446203,,,,,0.9783731456845999,,,,Turn Left,0.1796875,0.6389375809911073,,EVICT,0.7157124876976013,,,,depth,0.9783731456845999,0.9783731456845999,"{""frame_id"": 12, ""current_frame_id"": 12, ""similarity"": 0.9783731456845999, ""similarity_type"": ""depth"", ""matching_points"": 225280, ""confidence"": 0.9783731456845999, ""decision"": ""physmem_evict"", ""memory_state"": [6, 7, 8, 9, 10, 11, 12, 13, 14], ""memory_id"": ""stableworld_tri_9"", ""memory_size"": 9, ""replace_count"": 1, ""keep_count"": 6, ""runtime"": 145.03909810446203}"
Experiment001,15,1785376777.8560932,15,8,11,0.9638480879366398,depth,225280,0.9638480879366398,physmem_insert,6 8 10 11 12 13 14 15 16,stableworld_tri_9,9,1,7,134.89959808066487,,,,,0.9638480879366398,,,,Turn Left,0.3333333432674408,0.7508309275796345,,INSERT,0.6392999887466431,,,,depth,0.9638480879366398,0.9638480879366398,"{""frame_id"": 15, ""current_frame_id"": 15, ""similarity"": 0.9638480879366398, ""similarity_type"": ""depth"", ""matching_points"": 225280, ""confidence"": 0.9638480879366398, ""decision"": ""physmem_insert"", ""memory_state"": [6, 8, 10, 11, 12, 13, 14, 15, 16], ""memory_id"": ""stableworld_tri_9"", ""memory_size"": 9, ""replace_count"": 1, ""keep_count"": 7, ""runtime"": 134.89959808066487}"
Experiment001,18,1785376779.018127,17,10,13,0.9499209225177765,depth,225280,0.9499209225177765,physmem_insert,6 10 12 13 14 15 16 17 18,stableworld_tri_9,9,1,7,153.7290660198778,,,,,0.9499209225177765,,,,Turn Left,0.7453560147132695,0.728021328386104,,INSERT,0.6140106916427612,,,,depth,0.9499209225177765,0.9499209225177765,"{""frame_id"": 18, ""current_frame_id"": 17, ""similarity"": 0.9499209225177765, ""similarity_type"": ""depth"", ""matching_points"": 225280, ""confidence"": 0.9499209225177765, ""decision"": ""physmem_insert"", ""memory_state"": [6, 10, 12, 13, 14, 15, 16, 17, 18], ""memory_id"": ""stableworld_tri_9"", ""memory_size"": 9, ""replace_count"": 1, ""keep_count"": 7, ""runtime"": 153.7290660198778}"
Experiment001,21,1785376780.190323,19,12,15,0.9446793459355831,depth,225280,0.9446793459355831,physmem_insert,6 12 14 15 16 17 18 19 20,stableworld_tri_9,9,1,7,162.32123412191868,,,,,0.9446793459355831,,,,Turn Right,0.7453560147132695,0.766684779717165,,INSERT,0.6983819007873535,,,,depth,0.9446793459355831,0.9446793459355831,"{""frame_id"": 21, ""current_frame_id"": 19, ""similarity"": 0.9446793459355831, ""similarity_type"": ""depth"", ""matching_points"": 225280, ""confidence"": 0.9446793459355831, ""decision"": ""physmem_insert"", ""memory_state"": [6, 12, 14, 15, 16, 17, 18, 19, 20], ""memory_id"": ""stableworld_tri_9"", ""memory_size"": 9, ""replace_count"": 1, ""keep_count"": 7, ""runtime"": 162.32123412191868}"
Experiment001,24,1785376781.308634,21,14,17,0.9716426152735949,depth,225280,0.9716426152735949,physmem_insert,6 14 16 17 18 19 20 21 22,stableworld_tri_9,9,1,7,105.83402100019157,,,,,0.9716426152735949,,,,Turn Right,0.3333333432674408,0.7652593276045307,,INSERT,0.7015264630317688,,,,depth,0.9716426152735949,0.9716426152735949,"{""frame_id"": 24, ""current_frame_id"": 21, ""similarity"": 0.9716426152735949, ""similarity_type"": ""depth"", ""matching_points"": 225280, ""confidence"": 0.9716426152735949, ""decision"": ""physmem_insert"", ""memory_state"": [6, 14, 16, 17, 18, 19, 20, 21, 22], ""memory_id"": ""stableworld_tri_9"", ""memory_size"": 9, ""replace_count"": 1, ""keep_count"": 7, ""runtime"": 105.83402100019157}"
Experiment001,27,1785376782.46301,23,16,19,0.9340716153383255,depth,225280,0.9340716153383255,physmem_evict,17 18 19 20 21 22 23 24 25,stableworld_tri_9,9,1,6,161.943431943655,,,,,0.9340716153383255,,,,Turn Right,0.1796875,0.4896593707485265,,EVICT,0.5174469351768494,,,,depth,0.9340716153383255,0.9340716153383255,"{""frame_id"": 27, ""current_frame_id"": 23, ""similarity"": 0.9340716153383255, ""similarity_type"": ""depth"", ""matching_points"": 225280, ""confidence"": 0.9340716153383255, ""decision"": ""physmem_evict"", ""memory_state"": [17, 18, 19, 20, 21, 22, 23, 24, 25], ""memory_id"": ""stableworld_tri_9"", ""memory_size"": 9, ""replace_count"": 1, ""keep_count"": 6, ""runtime"": 161.943431943655}"
Experiment001,30,1785376783.5713649,26,19,22,0.9756741486489773,depth,225280,0.9756741486489773,physmem_insert,17 19 21 22 23 24 25 26 27,stableworld_tri_9,9,1,7,134.30981989949942,,,,,0.9756741486489773,,,,Turn Left,0.6666666865348816,0.7453207791175852,,INSERT,0.43244263529777527,,,,depth,0.9756741486489773,0.9756741486489773,"{""frame_id"": 30, ""current_frame_id"": 26, ""similarity"": 0.9756741486489773, ""similarity_type"": ""depth"", ""matching_points"": 225280, ""confidence"": 0.9756741486489773, ""decision"": ""physmem_insert"", ""memory_state"": [17, 19, 21, 22, 23, 24, 25, 26, 27], ""memory_id"": ""stableworld_tri_9"", ""memory_size"": 9, ""replace_count"": 1, ""keep_count"": 7, ""runtime"": 134.30981989949942}"
Experiment001,33,1785376784.643976,28,21,24,0.945607740432024,depth,225280,0.945607740432024,physmem_evict,22 23 24 25 26 27 28 29 30,stableworld_tri_9,9,1,6,143.717854982242,,,,,0.945607740432024,,,,Turn Right,1.0,0.5292582383145027,,EVICT,0.336684912443161,,,,depth,0.945607740432024,0.945607740432024,"{""frame_id"": 33, ""current_frame_id"": 28, ""similarity"": 0.945607740432024, ""similarity_type"": ""depth"", ""matching_points"": 225280, ""confidence"": 0.945607740432024, ""decision"": ""physmem_evict"", ""memory_state"": [22, 23, 24, 25, 26, 27, 28, 29, 30], ""memory_id"": ""stableworld_tri_9"", ""memory_size"": 9, ""replace_count"": 1, ""keep_count"": 6, ""runtime"": 143.717854982242}"
Experiment001,36,1785376785.7070553,31,24,27,0.9489224962890148,depth,225280,0.9489224962890148,physmem_replace,25 26 27 28 29 30 31 32 33,stableworld_tri_9,9,1,6,137.98785815015435,,,,,0.9489224962890148,,,,Walk,1.0540925565309005,0.4635374800550973,,REPLACE,0.44071999192237854,,,,depth,0.9489224962890148,0.9489224962890148,"{""frame_id"": 36, ""current_frame_id"": 31, ""similarity"": 0.9489224962890148, ""similarity_type"": ""depth"", ""matching_points"": 225280, ""confidence"": 0.9489224962890148, ""decision"": ""physmem_replace"", ""memory_state"": [25, 26, 27, 28, 29, 30, 31, 32, 33], ""memory_id"": ""stableworld_tri_9"", ""memory_size"": 9, ""replace_count"": 1, ""keep_count"": 6, ""runtime"": 137.98785815015435}"
