frame_index,intent_state,intent_confidence,rotation_speed,movement_speed,keyboard_vector,mouse_vector,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,delta_yaw,delta_pitch,pose_movement_magnitude,pose_rotation_magnitude,pose_confidence
9,Turn Left,0.598958320915699,0.0598958320915699,0.6666666865348816,0.000000 0.000000 0.000000 0.666667,0.000000 -0.059896,0.666667,0.000000,-0.059896,0.000000,0.666667,0.000000,-0.059896,0.000000,0.666667,0.059896,0.726563
12,Turn Left,1.0,0.1796875,0.0,0.000000 0.000000 0.000000 0.000000,0.000000 -0.179688,0.666667,0.000000,-0.239583,0.000000,0.000000,0.000000,-0.179688,0.000000,0.000000,0.179688,1.000000
15,Turn Left,0.598958320915699,0.0598958320915699,0.3333333432674408,0.000000 0.000000 0.333333 0.000000,0.000000 -0.059896,0.333333,0.000000,-0.299479,0.000000,-0.333333,0.000000,-0.059896,0.000000,0.333333,0.059896,0.598958
18,Turn Left,0.598958320915699,0.0598958320915699,0.7453560147132695,0.000000 0.000000 0.333333 0.666667,0.000000 -0.059896,0.666667,0.000000,-0.359375,0.000000,0.333333,0.000000,-0.059896,0.000000,0.333333,0.059896,0.598958
21,Turn Right,0.598958320915699,0.0598958320915699,0.7453560147132695,0.000000 0.000000 0.666667 0.333333,0.000000 0.059896,0.333333,0.000000,-0.299479,0.000000,-0.333333,0.000000,0.059896,0.000000,0.333333,0.059896,0.598958
24,Turn Right,0.598958320915699,0.0598958320915699,0.3333333432674408,0.000000 0.000000 0.000000 0.333333,0.000000 0.059896,0.666667,0.000000,-0.239583,0.000000,0.333333,0.000000,0.059896,0.000000,0.333333,0.059896,0.598958
27,Turn Right,1.0,0.1796875,0.0,0.000000 0.000000 0.000000 0.000000,0.000000 0.179688,0.666667,0.000000,-0.059896,0.000000,0.000000,0.000000,0.179688,0.000000,0.000000,0.179688,1.000000
30,Turn Left,0.2018229104578495,0.02018229104578495,0.6666666865348816,0.000000 0.666667 0.000000 0.000000,0.000000 -0.020182,0.666667,-0.666667,-0.080078,0.000000,0.000000,-0.666667,-0.020182,0.000000,0.666667,0.020182,0.686849
33,Turn Right,0.80078125,0.080078125,1.0,1.000000 0.000000 0.000000 0.000000,0.000000 0.080078,0.666667,0.333333,0.000000,0.000000,0.000000,1.000000,0.080078,0.000000,1.000000,0.080078,1.000000
36,Walk,1.0,0.0,1.0540925565309005,1.000000 0.000000 0.333333 0.000000,0.000000 0.000000,0.333333,1.333333,0.000000,0.000000,-0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
39,Walk,1.0,0.0,1.2472191421996568,1.000000 0.000000 0.666667 0.333333,0.000000 0.000000,0.000000,2.333333,0.000000,0.000000,-0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
42,Turn Left,0.400390625,0.0400390625,1.201850436175566,1.000000 0.000000 0.000000 0.666667,0.000000 -0.040039,0.666667,3.333333,-0.040039,0.000000,0.666667,1.000000,-0.040039,0.000000,1.201850,0.040039,1.000000
45,Turn Right,0.400390625,0.0400390625,1.0,1.000000 0.000000 0.000000 0.000000,0.000000 0.040039,0.666667,4.333333,0.000000,0.000000,0.000000,1.000000,0.040039,0.000000,1.000000,0.040039,1.000000
48,Walk,1.0,0.0,1.0,1.000000 0.000000 0.000000 0.000000,0.000000 0.000000,0.666667,5.333333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
51,Walk,1.0,0.0,1.4142135623730951,1.000000 0.000000 1.000000 0.000000,0.000000 0.000000,-0.333333,6.333333,0.000000,0.000000,-1.000000,1.000000,0.000000,0.000000,1.414214,0.000000,1.000000
54,Walk,1.0,0.0,1.4142135623730951,1.000000 0.000000 0.000000 1.000000,0.000000 0.000000,0.666667,7.333333,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.414214,0.000000,1.000000
57,Left,1.0,0.0,0.7453560147132695,0.000000 0.000000 0.666667 0.333333,0.000000 0.000000,0.333333,7.333333,0.000000,0.000000,-0.333333,0.000000,0.000000,0.000000,0.333333,0.000000,1.000000
60,Turn Left,1.0,0.1197916641831398,0.3333333432674408,0.000000 0.000000 0.000000 0.333333,0.000000 -0.119792,0.666667,7.333333,-0.119792,0.000000,0.333333,0.000000,-0.119792,0.000000,0.333333,0.119792,1.000000
63,Turn Left,1.0,0.1796875,0.0,0.000000 0.000000 0.000000 0.000000,0.000000 -0.179688,0.666667,7.333333,-0.299479,0.000000,0.000000,0.000000,-0.179688,0.000000,0.000000,0.179688,1.000000
66,Turn Right,0.598958320915699,0.0598958320915699,0.6666666865348816,0.000000 0.000000 0.666667 0.000000,0.000000 0.059896,0.000000,7.333333,-0.239583,0.000000,-0.666667,0.000000,0.059896,0.000000,0.666667,0.059896,0.726563
