frame_index,memory_state,decision,policy,transition,unified_memory_score,geometry_confidence,intent_state,delete_frame,memory_size
9,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.8079380413109559,0.9848917247727513,Turn Left,3,9
12,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.6339709320814408,0.9782451577484608,Turn Left,6,9
15,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.7526858533476555,0.9779243059456348,Turn Left,9,9
18,KEEP,physmem_keep,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6778777600605265,0.9339323937892914,Turn Left,12,9
21,KEEP,physmem_keep,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6851152356287971,0.9449632540345192,Turn Right,15,9
24,KEEP,physmem_keep,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6899581605482978,0.9459309540688992,Turn Right,18,9
27,KEEP,physmem_keep,physmem_rule,pose_viewpoint_change_protect_memory|prev=KEEP,0.5348840249881376,0.9498534165322781,Turn Right,21,9
30,KEEP,physmem_keep,physmem_rule,pose_pose_revisit_preserve_memory|prev=KEEP,0.7538992857148034,0.9340846464037895,Turn Left,24,9
33,KEEP,physmem_keep,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.5875190683233675,0.9301634058356285,Turn Right,27,9
36,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=KEEP,0.48051010611310674,0.8982297033071518,Walk,1,9
39,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.6401177194093627,0.9698139671236277,Walk,32,9
42,KEEP,physmem_keep,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6768594773782296,0.9464260265231133,Turn Left,35,9
45,KEEP,physmem_keep,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6798211087202597,0.9498429037630558,Turn Right,38,9
48,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=KEEP,0.431571162923791,0.9580386839807034,Walk,2,9
51,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=INSERT,0.5528458839742818,0.9259945899248123,Walk,31,9
54,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.5822525727859076,0.9791214726865292,Walk,45,9
57,INSERT,physmem_insert,physmem_rule,pose_lateral_motion_preserve_progression|prev=KEEP,0.5525777018527778,0.9579800479114056,Left,42,9
60,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.6086980076918236,0.9846405638381839,Turn Left,50,9
63,KEEP,physmem_keep,physmem_rule,pose_viewpoint_change_protect_memory|prev=KEEP,0.5721358016597609,0.9648769795894623,Turn Left,53,9
66,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.7469708224560112,0.9797627180814743,Turn Right,56,9
69,KEEP,physmem_keep,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.7169265106298387,0.9626407064497471,Turn Left,59,9
72,KEEP,physmem_keep,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6233817726735651,0.9235045164823532,Turn Left,62,9
75,KEEP,physmem_keep,physmem_rule,pose_viewpoint_change_protect_memory|prev=KEEP,0.39475006031329773,0.8916351646184921,Turn Right,65,9
78,KEEP,physmem_keep,physmem_rule,pose_viewpoint_change_protect_memory|prev=KEEP,0.40626055796609994,0.8994546011090279,Turn Right,68,9
81,KEEP,physmem_keep,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6472566371943487,0.8972756192088127,Turn Left,71,9
84,KEEP,physmem_keep,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6612485196796906,0.9160353243350983,Turn Right,74,9
87,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=KEEP,0.4427541682458206,0.9533735662698746,Walk,44,9
90,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.5917136845657197,0.919994480907917,Walk,79,9
93,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.6618325132367779,0.9093884006142616,Turn Left,82,9
96,KEEP,physmem_keep,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.5418845712595171,0.9328694567084312,Turn Right,85,9
99,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=KEEP,0.44772583067161714,0.9321771934628487,Walk,49,9
102,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.65585946833264,0.9890993079170585,Walk,90,9
105,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.5643100452635619,0.9350618869066238,Walk,93,9
108,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.580286601754815,0.9632559269666672,Right,96,9
111,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.6042489567961522,0.9814636185765266,Turn Left,99,9
114,KEEP,physmem_keep,physmem_rule,pose_viewpoint_change_protect_memory|prev=KEEP,0.5640674562100767,0.9714765790849924,Turn Left,102,9
117,KEEP,physmem_keep,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.7093760530431997,0.9612711183726788,Turn Right,105,9
