frame_index,reference_frame,middle_frame,current_frame,similarity,delete_frame,delete_range,memory_size,matching_points,orb_runtime_ms,lightglue_runtime_ms,runtime_ms,confidence,semantic_similarity,final_similarity,spatial_alpha,average_displacement,median_displacement,maximum_displacement,depth_runtime_ms,geometry_similarity,depth_difference,depth_metric,depth_cache_hit_reference,depth_cache_hit_current,memory_state,policy,transition,unified_memory_score,geometry_confidence,intent_state,estimator,decision,window_before,window_after,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,delta_yaw,delta_pitch,movement_magnitude,rotation_magnitude,pose_confidence,pose_delta_position
9,2,5,9,0.9848917247727513,3,3-4-5,9,225280,0.0,0.0,567.4368578474969,0.9848917247727513,0.9848917247727513,0.9848917247727513,0.0,0.0,0.0,0.0,567.4368578474969,0.9848917247727513,0.015108275227248669,l1,False,False,KEEP,physmem_rule,proposal_keep_validated|prev=KEEP,0.8079380413109559,0.9848917247727513,Turn Left,depth,physmem_keep,0 1 2 3 4 5 6 7 8,0 1 2 6 7 8 9 10 11,0.6666666865348816,0.0,-0.0598958320915699,0.0,0.6666666865348816,0.0,-0.0598958320915699,0.0,0.6666666865348816,0.0598958320915699,0.7265625186264515,0.6666666865348816
12,2,8,12,0.9782451577484608,6,6-7-8,9,225280,0.0,0.0,72.58359808474779,0.9782451577484608,0.9782451577484608,0.9782451577484608,0.0,0.0,0.0,0.0,72.58359808474779,0.9782451577484608,0.02175484225153923,l1,True,False,KEEP,physmem_rule,proposal_keep_validated|prev=KEEP,0.6339709320814408,0.9782451577484608,Turn Left,depth,physmem_keep,0 1 2 6 7 8 9 10 11,0 1 2 9 10 11 12 13 14,0.6666666865348816,0.0,-0.2395833320915699,0.0,0.0,0.0,-0.1796875,0.0,0.0,0.1796875,1.0,0.0
15,2,11,15,0.9779243059456348,9,9-10-11,9,225280,0.0,0.0,96.12730611115694,0.9779243059456348,0.9779243059456348,0.9779243059456348,0.0,0.0,0.0,0.0,96.12730611115694,0.9779243059456348,0.022075694054365158,l1,True,False,KEEP,physmem_rule,proposal_keep_validated|prev=KEEP,0.7526858533476555,0.9779243059456348,Turn Left,depth,physmem_keep,0 1 2 9 10 11 12 13 14,0 1 2 12 13 14 15 16 17,0.3333333432674408,0.0,-0.2994791641831398,0.0,-0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.598958320915699,0.3333333432674408
18,2,14,18,0.9339323937892914,12,12-13-14,9,225280,0.0,0.0,131.66296388953924,0.9339323937892914,0.9339323937892914,0.9339323937892914,0.0,0.0,0.0,0.0,131.66296388953924,0.9339323937892914,0.06606760621070862,l1,True,False,KEEP,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6778777600605265,0.9339323937892914,Turn Left,depth,physmem_keep,0 1 2 12 13 14 15 16 17,0 1 2 15 16 17 18 19 20,0.6666666865348816,0.0,-0.3593749962747097,0.0,0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.598958320915699,0.3333333432674408
21,2,17,21,0.9449632540345192,15,15-16-17,9,225280,0.0,0.0,110.50221906043589,0.9449632540345192,0.9449632540345192,0.9449632540345192,0.0,0.0,0.0,0.0,110.50221906043589,0.9449632540345192,0.055036745965480804,l1,True,False,KEEP,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6851152356287971,0.9449632540345192,Turn Right,depth,physmem_keep,0 1 2 15 16 17 18 19 20,0 1 2 18 19 20 21 22 23,0.3333333432674408,0.0,-0.2994791641831398,0.0,-0.3333333432674408,0.0,0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.598958320915699,0.3333333432674408
24,2,20,24,0.9459309540688992,18,18-19-20,9,225280,0.0,0.0,133.7244010064751,0.9459309540688992,0.9459309540688992,0.9459309540688992,0.0,0.0,0.0,0.0,133.7244010064751,0.9459309540688992,0.054069045931100845,l1,True,False,KEEP,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.6899581605482978,0.9459309540688992,Turn Right,depth,physmem_keep,0 1 2 18 19 20 21 22 23,0 1 2 21 22 23 24 25 26,0.6666666865348816,0.0,-0.2395833320915699,0.0,0.3333333432674408,0.0,0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.598958320915699,0.3333333432674408
27,2,23,27,0.9498534165322781,21,21-22-23,9,225280,0.0,0.0,92.25362096913159,0.9498534165322781,0.9498534165322781,0.9498534165322781,0.0,0.0,0.0,0.0,92.25362096913159,0.9498534165322781,0.05014658346772194,l1,True,False,KEEP,physmem_rule,pose_viewpoint_change_protect_memory|prev=KEEP,0.5348840249881376,0.9498534165322781,Turn Right,depth,physmem_keep,0 1 2 21 22 23 24 25 26,0 1 2 24 25 26 27 28 29,0.6666666865348816,0.0,-0.0598958320915699,0.0,0.0,0.0,0.1796875,0.0,0.0,0.1796875,1.0,0.0
30,2,26,30,0.9340846464037895,24,24-25-26,9,225280,0.0,0.0,92.88227697834373,0.9340846464037895,0.9340846464037895,0.9340846464037895,0.0,0.0,0.0,0.0,92.88227697834373,0.9340846464037895,0.06591535359621048,l1,True,False,KEEP,physmem_rule,pose_pose_revisit_preserve_memory|prev=KEEP,0.7538992857148034,0.9340846464037895,Turn Left,depth,physmem_keep,0 1 2 24 25 26 27 28 29,0 1 2 27 28 29 30 31 32,0.6666666865348816,-0.6666666865348816,-0.08007812313735485,0.0,0.0,-0.6666666865348816,-0.02018229104578495,0.0,0.6666666865348816,0.02018229104578495,0.6868489775806665,0.6666666865348816
33,2,29,33,0.9301634058356285,27,27-28-29,9,225280,0.0,0.0,67.68305692821741,0.9301634058356285,0.9301634058356285,0.9301634058356285,0.0,0.0,0.0,0.0,67.68305692821741,0.9301634058356285,0.06983659416437149,l1,True,False,KEEP,physmem_rule,proposal_insert_explained_by_camera_motion|prev=KEEP,0.5875190683233675,0.9301634058356285,Turn Right,depth,physmem_keep,0 1 2 27 28 29 30 31 32,0 1 2 30 31 32 33 34 35,0.6666666865348816,0.3333333134651184,1.862645149230957e-09,0.0,0.0,1.0,0.080078125,0.0,1.0,0.080078125,1.0,1.0
36,2,32,36,0.8982297033071518,1,1-30,9,225280,0.0,0.0,77.08896207623184,0.8982297033071518,0.8982297033071518,0.8982297033071518,0.0,0.0,0.0,0.0,77.08896207623184,0.8982297033071518,0.1017702966928482,l1,True,False,INSERT,physmem_rule,pose_forward_progression_preserve_progression|prev=KEEP,0.48051010611310674,0.8982297033071518,Walk,depth,physmem_insert,0 1 2 30 31 32 33 34 35,0 2 31 32 33 34 35 36 37,0.3333333432674408,1.3333333134651184,1.862645149230957e-09,0.0,-0.3333333432674408,1.0,0.0,0.0,1.0540925565309005,0.0,1.0,1.0540925565309005
