frame_index,memory_state,decision,policy,transition,unified_memory_score,geometry_confidence,intent_state,delete_frame,memory_size
9,REPLACE,delete_middle,stableworld,,0.9099901088031652,0.0,Unknown,3,9
12,REPLACE,delete_middle,stableworld,,0.8697068403908795,0.0,Unknown,6,9
15,REPLACE,delete_middle,stableworld,,0.8457583547557841,0.0,Unknown,9,9
18,REPLACE,delete_oldest,stableworld,,0.6333333333333333,0.0,Unknown,0,9
21,REPLACE,delete_middle,stableworld,,0.8633217993079585,0.0,Unknown,15,9
24,REPLACE,delete_middle,stableworld,,0.8773747841105354,0.0,Unknown,18,9
27,REPLACE,delete_middle,stableworld,,0.8381642512077294,0.0,Unknown,21,9
30,REPLACE,delete_middle,stableworld,,0.8214285714285714,0.0,Unknown,24,9
33,REPLACE,delete_oldest,stableworld,,0.7284768211920529,0.0,Unknown,12,9
36,REPLACE,delete_middle,stableworld,,0.805672268907563,0.0,Unknown,30,9
39,REPLACE,delete_middle,stableworld,,0.8465227817745803,0.0,Unknown,33,9
42,REPLACE,delete_middle,stableworld,,0.8207547169811321,0.0,Unknown,36,9
45,REPLACE,delete_oldest,stableworld,,0.695906432748538,0.0,Unknown,27,9
48,REPLACE,delete_oldest,stableworld,,0.7379032258064516,0.0,Unknown,39,9
51,REPLACE,delete_oldest,stableworld,,0.7645914396887159,0.0,Unknown,42,9
54,REPLACE,delete_middle,stableworld,,0.7976470588235294,0.0,Unknown,48,9
57,REPLACE,delete_oldest,stableworld,,0.7631578947368421,0.0,Unknown,45,9
60,REPLACE,delete_middle,stableworld,,0.8296703296703297,0.0,Unknown,54,9
63,REPLACE,delete_middle,stableworld,,0.8904347826086957,0.0,Unknown,57,9
66,REPLACE,delete_oldest,stableworld,,0.6370967741935484,0.0,Unknown,51,9
69,REPLACE,delete_middle,stableworld,,0.8129770992366412,0.0,Unknown,63,9
72,REPLACE,delete_oldest,stableworld,,0.6906077348066298,0.0,Unknown,60,9
75,REPLACE,delete_middle,stableworld,,0.8841010401188707,0.0,Unknown,69,9
78,REPLACE,delete_middle,stableworld,,0.8066666666666666,0.0,Unknown,72,9
81,REPLACE,delete_oldest,stableworld,,0.7704918032786885,0.0,Unknown,66,9
84,REPLACE,delete_middle,stableworld,,0.8491704374057315,0.0,Unknown,78,9
87,REPLACE,delete_middle,stableworld,,0.7937608318890814,0.0,Unknown,81,9
90,REPLACE,delete_middle,stableworld,,0.8125,0.0,Unknown,84,9
93,REPLACE,delete_oldest,stableworld,,0.7198581560283688,0.0,Unknown,75,9
96,REPLACE,delete_middle,stableworld,,0.8846572361262242,0.0,Unknown,90,9
99,REPLACE,delete_oldest,stableworld,,0.7132616487455197,0.0,Unknown,87,9
102,REPLACE,delete_middle,stableworld,,0.8155136268343816,0.0,Unknown,96,9
105,REPLACE,delete_middle,stableworld,,0.7910447761194029,0.0,Unknown,99,9
108,REPLACE,delete_oldest,stableworld,,0.644808743169399,0.0,Unknown,93,9
111,REPLACE,delete_middle,stableworld,,0.7975,0.0,Unknown,105,9
114,REPLACE,delete_oldest,stableworld,,0.6636904761904762,0.0,Unknown,102,9
117,REPLACE,delete_oldest,stableworld,,0.7354497354497355,0.0,Unknown,108,9
