frame_index,memory_state,decision,policy,transition,unified_memory_score,geometry_confidence,intent_state,delete_frame,memory_size
9,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.6537078416271773,0.9850960252806544,Viewpoint Locomotion,3,9
12,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.6333391106376101,0.9783361628651619,Turn Left,6,9
15,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.746108192973255,0.9775660745799541,Viewpoint Locomotion,9,9
18,INSERT,physmem_insert,physmem_rule,pose_lateral_motion_preserve_progression|prev=KEEP,0.514518669656419,0.9335863143205643,Viewpoint Locomotion,1,9
21,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.60450482173908,0.9562467820942402,Viewpoint Locomotion,14,9
24,INSERT,physmem_insert,physmem_rule,pose_lateral_motion_preserve_progression|prev=KEEP,0.6732797801621392,0.9753850009292364,Viewpoint Locomotion,2,9
27,KEEP,physmem_keep,physmem_rule,pose_viewpoint_change_protect_memory|prev=INSERT,0.5161265101672224,0.9322359561920166,Turn Right,19,9
30,KEEP,physmem_keep,physmem_rule,pose_pose_revisit_preserve_memory|prev=KEEP,0.4587879424147504,0.9568799883127213,Viewpoint Locomotion,22,9
33,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=KEEP,0.5155928461585435,0.9777258075773716,Viewpoint Locomotion,13,9
36,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=INSERT,0.5603564034822982,0.968598261475563,Walk,18,9
39,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.5908680052418216,0.906691201031208,Walk,29,9
42,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.5796233496011891,0.9593009687960148,Viewpoint Locomotion,32,9
45,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=KEEP,0.5497289911199761,0.9764405246824026,Viewpoint Locomotion,26,9
48,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.5874825919445507,0.9501266963779926,Walk,37,9
51,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.5491291925561276,0.9102974608540535,Walk,40,9
54,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=KEEP,0.4863817662097688,0.9668533019721508,Walk,28,9
57,INSERT,physmem_insert,physmem_rule,pose_lateral_motion_preserve_progression|prev=INSERT,0.49835599444274015,0.9215133637189865,Left,36,9
60,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.5744535283093388,0.9520542733371258,Viewpoint Locomotion,47,9
63,KEEP,physmem_keep,physmem_rule,pose_viewpoint_change_protect_memory|prev=KEEP,0.5398324637495049,0.9322202056646347,Turn Left,50,9
66,INSERT,physmem_insert,physmem_rule,pose_lateral_motion_preserve_progression|prev=KEEP,0.5576455630511474,0.9279235601425171,Viewpoint Locomotion,44,9
69,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.5845608894718285,0.9755090288817883,Viewpoint Locomotion,55,9
72,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.6060982564812732,0.9734789486974478,Viewpoint Locomotion,58,9
75,KEEP,physmem_keep,physmem_rule,pose_viewpoint_change_protect_memory|prev=KEEP,0.4876953746178231,0.9450355134904385,Turn Right,61,9
78,KEEP,physmem_keep,physmem_rule,pose_viewpoint_change_protect_memory|prev=KEEP,0.44628685237348686,0.9109617993235588,Turn Right,64,9
81,KEEP,physmem_keep,physmem_rule,pose_pose_revisit_preserve_memory|prev=KEEP,0.49521518876419435,0.936768189072609,Viewpoint Locomotion,67,9
84,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=KEEP,0.490945065173245,0.9354072287678719,Viewpoint Locomotion,46,9
87,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.5989794128652162,0.9408565536141396,Walk,72,9
90,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=KEEP,0.5479102092378496,0.918697789311409,Walk,75,9
93,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=KEEP,0.5440184142321276,0.9285323992371559,Viewpoint Locomotion,54,9
96,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.6322123410505065,0.9709251709282398,Viewpoint Locomotion,80,9
99,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=KEEP,0.4284717144182945,0.9543207697570324,Walk,71,9
102,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=INSERT,0.40188745933557823,0.8816323652863503,Walk,79,9
105,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|prev=INSERT,0.4821362556367237,0.9765172563493252,Walk,84,9
108,INSERT,physmem_insert,physmem_rule,pose_lateral_motion_preserve_progression|prev=INSERT,0.5794506605524139,0.9871452851220965,Right,86,9
111,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|prev=INSERT,0.6079603701172407,0.9746440071612597,Turn Left,91,9
114,KEEP,physmem_keep,physmem_rule,pose_viewpoint_change_protect_memory|prev=KEEP,0.5135740157438331,0.9045645967125893,Turn Left,94,9
117,INSERT,physmem_insert,physmem_rule,pose_lateral_motion_preserve_progression|prev=KEEP,0.5634133336735812,0.9440803863108158,Viewpoint Locomotion,88,9
