frame_index,reference_frame,middle_frame,current_frame,similarity,delete_frame,delete_range,memory_size,matching_points,orb_runtime_ms,lightglue_runtime_ms,runtime_ms,confidence,semantic_similarity,final_similarity,spatial_alpha,average_displacement,median_displacement,maximum_displacement,depth_runtime_ms,geometry_similarity,depth_difference,depth_metric,depth_cache_hit_reference,depth_cache_hit_current,memory_state,policy,transition,unified_memory_score,geometry_confidence,intent_state,estimator,decision,window_before,window_after,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,local_delta_x,local_delta_z,delta_yaw,delta_pitch,movement_magnitude,rotation_magnitude,pose_confidence,pose_delta_position,view_state,view_confidence,view_pose_distance,view_yaw_delta,nearest_view_frame_id,key_anchor_frame_id,key_anchor_type,key_anchor_reason,memory_selection_mode,memory_selection_target,memory_selection_anchor_type,memory_selection_reason,trajectory_motion_state,trajectory_direction,trajectory_frames,trajectory_distance,trajectory_should_progress,trajectory_confidence,revisit_gate_allow_retrieve,revisit_gate_allow_soft_reuse,revisit_gate_force_progress,revisit_gate_protect_current,revisit_gate_reason,selection_is_hard_retrieve,selection_is_soft_reuse,selection_is_progress,view_intent,move_intent,has_view_motion,has_move_motion,action_explanation,use_pose_memory
9,2,5,9,0.9848674479871988,1,1-3,9,225280,0.0,0.0,702.6376212015748,0.9848674479871988,0.9848674479871988,0.9848674479871988,0.0,0.0,0.0,0.0,702.6376212015748,0.9848674479871988,0.01513255201280117,l1,False,False,INSERT,physmem_rule,selection_progress_anchor|trajectory_progress_bypasses_insert_hysteresis|view=Novel View|selection=progress_anchor|trajectory=Starting:right|prev=KEEP,0.6584850082806942,0.9848674479871988,Viewpoint Locomotion,depth,physmem_insert,0 1 2 3 4 5 6 7 8,0 2 4 5 6 7 8 9 10,0.6663677496442973,0.01996229369068322,-0.0598958320915699,0.0,0.6663677496442973,0.01996229369068322,0.6666666865348816,0.0,-0.0598958320915699,0.0,0.6666666865348816,0.0598958320915699,1.0,0.6666666865348816,Novel View,0.0,inf,inf,,9,initial_anchor,first_pose,progress_anchor,,,novel_view_progress,Starting,right,1,0.6666666865348816,False,0.75,False,False,True,False,novel_view_progress,False,False,True,Turn Left,Right,True,True,viewpoint_locomotion,True
12,4,7,11,0.9603677317500114,5,5-6-7,9,225280,0.0,0.0,172.1766316331923,0.9603677317500114,0.9603677317500114,0.9603677317500114,0.0,0.0,0.0,0.0,172.1766316331923,0.9603677317500114,0.039632268249988556,l1,False,False,KEEP,physmem_rule,selection_protect_current|view=View Transition|selection=protect_current|trajectory=Idle:none|prev=INSERT,0.627435882204697,0.9603677317500114,Turn Left,depth,physmem_keep,0 2 4 5 6 7 8 9 10,0 2 4 8 9 10 11 12 13,0.6663677496442973,0.01996229369068322,-0.2395833320915699,0.0,0.0,0.0,0.0,0.0,-0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,9,,,,protect_current,,,view_transition,Idle,none,0,0.0,False,0.0,False,False,False,True,view_transition,False,False,False,Turn Left,None,True,False,viewpoint_change,True
15,4,10,14,0.9905334366485476,8,8-9-10,9,225280,0.0,0.0,128.13808862119913,0.9905334366485476,0.9905334366485476,0.9905334366485476,0.0,0.0,0.0,0.0,128.13808862119913,0.9905334366485476,0.00946656335145235,l1,True,False,KEEP,physmem_rule,proposal_keep_validated|view=Known View|selection=current_window|trajectory=Starting:left|prev=KEEP,0.777784467312925,0.9905334366485476,Viewpoint Locomotion,depth,physmem_keep,0 2 4 8 9 10 11 12 13,0 2 4 11 12 13 14 15 16,0.345069132957115,-0.06879758828733987,-0.2994791641831398,0.0,-0.32129861668718235,-0.08875988197802309,-0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.6666666865348816,0.3333333432674408,Known View,0.5377178604598918,0.3333333432674408,0.2395833320915699,9,,,,current_window,,,view_state=Known View,Starting,left,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,False,False,False,Turn Left,Left,True,True,viewpoint_locomotion,True
18,4,13,17,0.9582297690212727,2,2-11,9,225280,0.0,0.0,144.28133610635996,0.9582297690212727,0.9582297690212727,0.9582297690212727,0.0,0.0,0.0,0.0,144.28133610635996,0.9582297690212727,0.04177023097872734,l1,True,False,INSERT,physmem_rule,pose_lateral_motion_preserve_progression|view=Known View|selection=current_window|trajectory=Starting:right|prev=KEEP,0.5538065879765796,0.9582297690212727,Viewpoint Locomotion,depth,physmem_insert,0 2 4 11 12 13 14 15 16,0 4 12 13 14 15 16 17 18,0.6604784219946442,0.03903607121974452,-0.3593749962747097,0.0,0.3154092890375293,0.10783365950708439,0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,1.0,0.3333333432674408,Known View,0.6555028474294428,0.01996229369068325,0.2994791641831398,9,,,,current_window,,,view_state=Known View,Starting,right,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,False,False,False,Turn Left,Right,True,True,viewpoint_locomotion,True
21,12,15,19,0.9503427892923355,13,13-14-15,9,225280,0.0,0.0,206.32353983819485,0.9503427892923355,0.9503427892923355,0.9503427892923355,0.0,0.0,0.0,0.0,206.32353983819485,0.9503427892923355,0.04965721070766449,l1,False,False,KEEP,physmem_rule,proposal_keep_validated|view=Known View|selection=current_window|trajectory=Starting:left|prev=INSERT,0.6255590947356484,0.9503427892923355,Viewpoint Locomotion,depth,physmem_keep,0 4 12 13 14 15 16 17 18,0 4 12 16 17 18 19 20 21,0.34506913295711494,-0.06879758828733987,-0.2994791641831398,0.0,-0.3154092890375293,-0.10783365950708439,-0.3333333432674408,0.0,0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,1.0,0.3333333432674408,Known View,1.0,5.551115123125783e-17,0.0,14,,,,current_window,,,view_state=Known View,Starting,left,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,False,False,False,Turn Right,Left,True,True,viewpoint_locomotion,True
24,12,18,22,0.942406352609396,16,16-17-18,9,225280,0.0,0.0,92.44087105616927,0.942406352609396,0.942406352609396,0.942406352609396,0.0,0.0,0.0,0.0,92.44087105616927,0.942406352609396,0.05759364739060402,l1,True,False,KEEP,physmem_rule,view_revisit_retrieve_memory|view=Revisit|selection=current_window|trajectory=Starting:right|prev=KEEP,0.6331844390075975,0.942406352609396,Viewpoint Locomotion,depth,physmem_keep,0 4 12 16 17 18 19 20 21,0 4 12 19 20 21 22 23 24,0.6663677496442972,0.019962293690683225,-0.2395833320915699,0.0,0.32129861668718235,0.08875988197802309,0.3333333432674408,0.0,0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.6666666865348816,0.3333333432674408,Revisit,0.7433035714285714,1.1107649934270853e-16,0.1796875,9,,,,current_window,,,view_state=Revisit,Starting,right,1,0.3333333432674408,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.3333,False,False,False,Turn Right,Right,True,True,viewpoint_locomotion,True
27,12,21,25,0.9583191238343716,19,19-20-21,9,225280,0.0,0.0,102.22400724887848,0.9583191238343716,0.9583191238343716,0.9583191238343716,0.0,0.0,0.0,0.0,102.22400724887848,0.9583191238343716,0.04168087616562843,l1,True,False,KEEP,physmem_rule,selection_protect_current|view=View Transition|selection=protect_current|trajectory=Idle:none|prev=KEEP,0.5612784728821479,0.9583191238343716,Turn Right,depth,physmem_keep,0 4 12 19 20 21 22 23 24,0 4 12 22 23 24 25 26 27,0.6663677496442972,0.019962293690683225,-0.0598958320915699,0.0,0.0,0.0,0.0,0.0,0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,22,,,,protect_current,,,view_transition,Idle,none,0,0.0,False,0.0,False,False,False,True,view_transition,False,False,False,Turn Right,None,True,False,viewpoint_change,True
30,12,24,28,0.9736830964684486,22,22-23-24,9,225280,0.0,0.0,141.09626784920692,0.9736830964684486,0.9736830964684486,0.9736830964684486,0.0,0.0,0.0,0.0,141.09626784920692,0.9736830964684486,0.02631690353155136,l1,True,False,KEEP,physmem_rule,view_revisit_retrieve_memory|view=Revisit|selection=current_window|trajectory=Starting:backward|prev=KEEP,0.5441007776945654,0.9736830964684486,Viewpoint Locomotion,depth,physmem_keep,0 4 12 22 23 24 25 26 27,0 4 12 25 26 27 28 29 30,0.7129876555922678,-0.6450723334565056,-0.08007812313735485,0.0,0.046619905947970657,-0.6650346271471889,0.0,-0.6666666865348816,-0.02018229104578495,0.0,0.6666666865348816,0.02018229104578495,1.0,0.6666666865348816,Revisit,0.5267236979589576,0.6666666865348816,0.02018229104578495,9,,,,current_window,,,view_state=Revisit,Starting,backward,1,0.6666666865348816,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.6667,False,False,False,Turn Left,Backward,True,True,viewpoint_locomotion,True
33,12,27,31,0.9443937242031097,4,4-25,9,225280,0.0,0.0,142.8396818228066,0.9443937242031097,0.9443937242031097,0.9443937242031097,0.0,0.0,0.0,0.0,142.8396818228066,0.9443937242031097,0.05560627579689026,l1,True,False,INSERT,physmem_rule,pose_forward_progression_preserve_progression|view=Known View|selection=current_window|trajectory=Starting:forward|prev=KEEP,0.531085214472456,0.9443937242031097,Viewpoint Locomotion,depth,physmem_insert,0 4 12 25 26 27 28 29 30,0 12 26 27 28 29 30 31 32,0.672959292043139,0.3541262104333355,1.862645149230957e-09,0.0,-0.04002836354912891,0.9991985438898411,0.0,1.0,0.080078125,0.0,1.0,0.080078125,1.0,1.0,Known View,0.41520195891044703,0.3153372289261253,0.35937499813735485,17,,,,current_window,,,view_state=Known View,Starting,forward,1,1.0,False,0.75,False,False,False,False,known_view_blocked_by_motion:1.0000,False,False,False,Turn Right,Walk,True,True,viewpoint_locomotion,True
36,26,29,33,0.8867318779230118,12,12-27,9,225280,0.0,0.0,163.4259819984436,0.8867318779230118,0.8867318779230118,0.8867318779230118,0.0,0.0,0.0,0.0,163.4259819984436,0.8867318779230118,0.11326812207698822,l1,False,False,INSERT,physmem_rule,trajectory_forward_progress|trajectory_progress_bypasses_insert_hysteresis|view=Novel View|selection=progress_anchor|trajectory=Progressing:forward|prev=INSERT,0.5686386594294652,0.8867318779230118,Walk,depth,physmem_insert,0 12 26 27 28 29 30 31 32,0 26 28 29 30 31 32 33 34,0.33962595063834333,1.3541262110542172,1.862645149230957e-09,0.0,-0.33333334140479565,1.0000000006208818,-0.3333333432674408,1.0,0.0,0.0,1.0540925565309005,0.0,1.0,1.0540925565309005,Novel View,0.5,1.0540925565309003,0.0,31,33,forward_anchor,trajectory_forward_progress,progress_anchor,,,trajectory_forward_progress,Progressing,forward,2,2.0540925565309003,True,1.0,False,False,True,False,trajectory_forward_progress,False,False,True,None,Walk,False,True,locomotion,True
