frame_index,reference_frame,middle_frame,current_frame,similarity,delete_frame,delete_range,memory_size,matching_points,orb_runtime_ms,lightglue_runtime_ms,runtime_ms,confidence,semantic_similarity,final_similarity,spatial_alpha,average_displacement,median_displacement,maximum_displacement,depth_runtime_ms,geometry_similarity,depth_difference,depth_metric,depth_cache_hit_reference,depth_cache_hit_current,memory_state,policy,transition,unified_memory_score,geometry_confidence,intent_state,estimator,decision,window_before,window_after,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,local_delta_x,local_delta_z,delta_yaw,delta_pitch,movement_magnitude,rotation_magnitude,pose_confidence,pose_delta_position,view_state,view_confidence,view_pose_distance,view_yaw_delta,nearest_view_frame_id,key_anchor_frame_id,key_anchor_type,key_anchor_reason,memory_selection_mode,memory_selection_target,memory_selection_anchor_type,memory_selection_reason,trajectory_motion_state,trajectory_direction,trajectory_frames,trajectory_distance,trajectory_should_progress,trajectory_confidence,revisit_gate_allow_retrieve,revisit_gate_allow_soft_reuse,revisit_gate_force_progress,revisit_gate_protect_current,revisit_gate_reason,selection_is_hard_retrieve,selection_is_soft_reuse,selection_is_progress,action_mode,action_mode_confidence,action_mode_reason,scheduler_path,view_intent,move_intent,has_view_motion,has_move_motion,action_explanation,use_pose_memory
9,2,5,9,0.9849736634641886,3,3-4-5,9,225280,0.0,0.0,648.8187471404672,0.9849736634641886,0.9849736634641886,0.9849736634641886,0.0,0.0,0.0,0.0,648.8187471404672,0.9849736634641886,0.015026336535811424,l1,False,False,KEEP,physmem_rule,selection_hybrid_locomotion|insert_hysteresis_enter=0.35|mode=Viewpoint Locomotion|view=Novel View|selection=hybrid_locomotion|trajectory=Starting:right|prev=KEEP,0.654743795960387,0.9849736634641886,Viewpoint Locomotion,depth,physmem_keep,0 1 2 3 4 5 6 7 8,0 1 2 6 7 8 9 10 11,0.6663677496442973,0.01996229369068322,-0.0598958320915699,0.0,0.6663677496442973,0.01996229369068322,0.6666666865348816,0.0,-0.0598958320915699,0.0,0.6666666865348816,0.0598958320915699,1.0,0.6666666865348816,Novel View,0.0,inf,inf,,9,initial_anchor,first_pose,hybrid_locomotion,,,novel_view_progress,Starting,right,1,0.6666666865348816,False,0.75,False,False,True,False,novel_view_progress,False,False,False,Viewpoint Locomotion,0.6666666865348816,move=0.6667:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->hybrid_locomotion,Turn Left,Right,True,True,viewpoint_locomotion,True
12,2,8,12,0.978451993316412,6,6-7-8,9,225280,0.0,0.0,117.1725639142096,0.978451993316412,0.978451993316412,0.978451993316412,0.0,0.0,0.0,0.0,117.1725639142096,0.978451993316412,0.021548006683588028,l1,True,False,KEEP,physmem_rule,action_mode_view_rotation_protect|mode=View Rotation Only|view=View Transition|selection=protect_current|trajectory=Idle:none|prev=KEEP,0.6374182226694904,0.978451993316412,Turn Left,depth,physmem_keep,0 1 2 6 7 8 9 10 11,0 1 2 9 10 11 12 13 14,0.6663677496442973,0.01996229369068322,-0.2395833320915699,0.0,0.0,0.0,0.0,0.0,-0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,9,,,,protect_current,,,view=0.1797:Turn Left,Idle,none,0,0.0,False,0.0,False,False,False,True,view_transition,False,False,False,View Rotation Only,0.998263888888889,view=0.1797:Turn Left,View Rotation Only->protect_current,Turn Left,None,True,False,viewpoint_change,True
15,2,11,15,0.9777678437530994,9,9-10-11,9,225280,0.0,0.0,141.4937567897141,0.9777678437530994,0.9777678437530994,0.9777678437530994,0.0,0.0,0.0,0.0,141.4937567897141,0.9777678437530994,0.02223215624690056,l1,True,False,KEEP,physmem_rule,proposal_keep_validated|mode=Viewpoint Locomotion|view=Known View|selection=current_window|trajectory=Starting:left|prev=KEEP,0.7498709720424426,0.9777678437530994,Viewpoint Locomotion,depth,physmem_keep,0 1 2 9 10 11 12 13 14,0 1 2 12 13 14 15 16 17,0.345069132957115,-0.06879758828733987,-0.2994791641831398,0.0,-0.32129861668718235,-0.08875988197802309,-0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.6666666865348816,0.3333333432674408,Known View,0.5377178604598918,0.3333333432674408,0.2395833320915699,9,,,,current_window,,,view_state=Known View,Starting,left,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,False,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->current_window,Turn Left,Left,True,True,viewpoint_locomotion,True
18,2,14,18,0.9336422756314278,1,1-12,9,225280,0.0,0.0,102.98474226146936,0.9336422756314278,0.9336422756314278,0.9336422756314278,0.0,0.0,0.0,0.0,102.98474226146936,0.9336422756314278,0.06635772436857224,l1,True,False,INSERT,physmem_rule,pose_lateral_motion_preserve_progression|mode=Viewpoint Locomotion|view=Known View|selection=current_window|trajectory=Starting:right|prev=KEEP,0.508621956627328,0.9336422756314278,Viewpoint Locomotion,depth,physmem_insert,0 1 2 12 13 14 15 16 17,0 2 13 14 15 16 17 18 19,0.6604784219946442,0.03903607121974452,-0.3593749962747097,0.0,0.3154092890375293,0.10783365950708439,0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,1.0,0.3333333432674408,Known View,0.6555028474294428,0.01996229369068325,0.2994791641831398,9,,,,current_window,,,view_state=Known View,Starting,right,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,False,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->current_window,Turn Left,Right,True,True,viewpoint_locomotion,True
21,13,16,20,0.9560916088521481,14,14-15-16,9,225280,0.0,0.0,171.40178196132183,0.9560916088521481,0.9560916088521481,0.9560916088521481,0.0,0.0,0.0,0.0,171.40178196132183,0.9560916088521481,0.043908391147851944,l1,False,False,KEEP,physmem_rule,proposal_keep_validated|mode=Viewpoint Locomotion|view=Known View|selection=current_window|trajectory=Starting:left|prev=INSERT,0.5906657804585057,0.9560916088521481,Viewpoint Locomotion,depth,physmem_keep,0 2 13 14 15 16 17 18 19,0 2 13 17 18 19 20 21 22,0.34506913295711494,-0.06879758828733987,-0.2994791641831398,0.0,-0.3154092890375293,-0.10783365950708439,-0.3333333432674408,0.0,0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,1.0,0.3333333432674408,Known View,1.0,5.551115123125783e-17,0.0,15,,,,current_window,,,view_state=Known View,Starting,left,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,False,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->current_window,Turn Right,Left,True,True,viewpoint_locomotion,True
24,13,19,23,0.9752921257168055,17,17-18-19,9,225280,0.0,0.0,140.53192595019937,0.9752921257168055,0.9752921257168055,0.9752921257168055,0.0,0.0,0.0,0.0,140.53192595019937,0.9752921257168055,0.024707874283194542,l1,True,False,KEEP,physmem_rule,view_revisit_retrieve_memory|mode=Viewpoint Locomotion|view=Revisit|selection=current_window|trajectory=Starting:right|prev=KEEP,0.6877590132581018,0.9752921257168055,Viewpoint Locomotion,depth,physmem_keep,0 2 13 17 18 19 20 21 22,0 2 13 20 21 22 23 24 25,0.6663677496442972,0.019962293690683225,-0.2395833320915699,0.0,0.32129861668718235,0.08875988197802309,0.3333333432674408,0.0,0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.6666666865348816,0.3333333432674408,Revisit,0.7433035714285714,1.1107649934270853e-16,0.1796875,9,,,,current_window,,,view_state=Revisit,Starting,right,1,0.3333333432674408,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.3333,False,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->current_window,Turn Right,Right,True,True,viewpoint_locomotion,True
27,13,22,26,0.9697453211992979,20,20-21-22,9,225280,0.0,0.0,70.61580009758472,0.9697453211992979,0.9697453211992979,0.9697453211992979,0.0,0.0,0.0,0.0,70.61580009758472,0.9697453211992979,0.030254678800702095,l1,True,False,KEEP,physmem_rule,action_mode_view_rotation_protect|mode=View Rotation Only|view=View Transition|selection=protect_current|trajectory=Idle:none|prev=KEEP,0.5267042713567593,0.9697453211992979,Turn Right,depth,physmem_keep,0 2 13 20 21 22 23 24 25,0 2 13 23 24 25 26 27 28,0.6663677496442972,0.019962293690683225,-0.0598958320915699,0.0,0.0,0.0,0.0,0.0,0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,23,,,,protect_current,,,view=0.1797:Turn Right,Idle,none,0,0.0,False,0.0,False,False,False,True,view_transition,False,False,False,View Rotation Only,0.998263888888889,view=0.1797:Turn Right,View Rotation Only->protect_current,Turn Right,None,True,False,viewpoint_change,True
30,13,25,29,0.9713761936873198,23,23-24-25,9,225280,0.0,0.0,73.15628882497549,0.9713761936873198,0.9713761936873198,0.9713761936873198,0.0,0.0,0.0,0.0,73.15628882497549,0.9713761936873198,0.028623806312680244,l1,True,False,KEEP,physmem_rule,view_revisit_retrieve_memory|mode=Viewpoint Locomotion|view=Revisit|selection=current_window|trajectory=Starting:backward|prev=KEEP,0.570747074705545,0.9713761936873198,Viewpoint Locomotion,depth,physmem_keep,0 2 13 23 24 25 26 27 28,0 2 13 26 27 28 29 30 31,0.7129876555922678,-0.6450723334565056,-0.08007812313735485,0.0,0.046619905947970657,-0.6650346271471889,0.0,-0.6666666865348816,-0.02018229104578495,0.0,0.6666666865348816,0.02018229104578495,1.0,0.6666666865348816,Revisit,0.5267236979589576,0.6666666865348816,0.02018229104578495,9,,,,current_window,,,view_state=Revisit,Starting,backward,1,0.6666666865348816,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.6667,False,False,False,Viewpoint Locomotion,0.6666666865348816,move=0.6667:view=0.0202:Viewpoint Locomotion,Viewpoint Locomotion->current_window,Turn Left,Backward,True,True,viewpoint_locomotion,True
33,13,28,32,0.9540015496313572,2,2-26,9,225280,0.0,0.0,62.30862205848098,0.9540015496313572,0.9540015496313572,0.9540015496313572,0.0,0.0,0.0,0.0,62.30862205848098,0.9540015496313572,0.04599845036864281,l1,True,False,INSERT,physmem_rule,pose_forward_progression_preserve_progression|mode=Viewpoint Locomotion|view=Known View|selection=current_window|trajectory=Starting:forward|prev=KEEP,0.495840236005208,0.9540015496313572,Viewpoint Locomotion,depth,physmem_insert,0 2 13 26 27 28 29 30 31,0 13 27 28 29 30 31 32 33,0.672959292043139,0.3541262104333355,1.862645149230957e-09,0.0,-0.04002836354912891,0.9991985438898411,0.0,1.0,0.080078125,0.0,1.0,0.080078125,1.0,1.0,Known View,0.41520195891044703,0.3153372289261253,0.35937499813735485,18,,,,current_window,,,view_state=Known View,Starting,forward,1,1.0,False,0.75,False,False,False,False,known_view_blocked_by_motion:1.0000,False,False,False,Viewpoint Locomotion,1.0,move=1.0000:view=0.0801:Viewpoint Locomotion,Viewpoint Locomotion->current_window,Turn Right,Walk,True,True,viewpoint_locomotion,True
36,27,30,34,0.9111622869968414,28,28-29-30,9,225280,0.0,0.0,148.88312621042132,0.9111622869968414,0.9111622869968414,0.9111622869968414,0.0,0.0,0.0,0.0,148.88312621042132,0.9111622869968414,0.08883771300315857,l1,False,False,KEEP,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=INSERT,0.6034411582303626,0.9111622869968414,Walk,depth,physmem_keep,0 13 27 28 29 30 31 32 33,0 13 27 31 32 33 34 35 36,0.33962595063834333,1.3541262110542172,1.862645149230957e-09,0.0,-0.33333334140479565,1.0000000006208818,-0.3333333432674408,1.0,0.0,0.0,1.0540925565309005,0.0,1.0,1.0540925565309005,Novel View,0.5,1.0540925565309003,0.0,32,,,,orb_locomotion,,,move=1.0541:Walk,Progressing,forward,2,2.0540925565309003,True,1.0,False,False,False,False,locomotion_only_orb_dominant,False,False,False,Locomotion Only,1.0,move=1.0541:Walk,Locomotion Only->orb_locomotion,None,Walk,False,True,locomotion,True
