frame_index,intent_state,intent_confidence,rotation_speed,movement_speed,view_intent,move_intent,has_view_motion,has_move_motion,action_explanation,keyboard_vector,mouse_vector,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,local_delta_x,local_delta_z,delta_yaw,delta_pitch,pose_movement_magnitude,pose_rotation_magnitude,pose_confidence
9,Viewpoint Locomotion,1.0,0.0598958320915699,0.6666666865348816,Turn Left,Right,True,True,viewpoint_locomotion,0.000000 0.000000 0.000000 0.666667,0.000000 -0.059896,0.666368,0.019962,-0.059896,0.000000,0.666368,0.019962,0.666667,0.000000,-0.059896,0.000000,0.666667,0.059896,1.000000
12,Turn Left,1.0,0.1796875,0.0,Turn Left,None,True,False,viewpoint_change,0.000000 0.000000 0.000000 0.000000,0.000000 -0.179688,0.666368,0.019962,-0.239583,0.000000,0.000000,0.000000,0.000000,0.000000,-0.179688,0.000000,0.000000,0.179688,1.000000
15,Viewpoint Locomotion,0.6666666865348816,0.0598958320915699,0.3333333432674408,Turn Left,Left,True,True,viewpoint_locomotion,0.000000 0.000000 0.333333 0.000000,0.000000 -0.059896,0.345069,-0.068798,-0.299479,0.000000,-0.321299,-0.088760,-0.333333,0.000000,-0.059896,0.000000,0.333333,0.059896,0.666667
18,Viewpoint Locomotion,1.0,0.0598958320915699,0.7453560147132695,Turn Left,Right,True,True,viewpoint_locomotion,0.000000 0.000000 0.333333 0.666667,0.000000 -0.059896,0.660478,0.039036,-0.359375,0.000000,0.315409,0.107834,0.333333,0.000000,-0.059896,0.000000,0.333333,0.059896,1.000000
21,Viewpoint Locomotion,1.0,0.0598958320915699,0.7453560147132695,Turn Right,Left,True,True,viewpoint_locomotion,0.000000 0.000000 0.666667 0.333333,0.000000 0.059896,0.345069,-0.068798,-0.299479,0.000000,-0.315409,-0.107834,-0.333333,0.000000,0.059896,0.000000,0.333333,0.059896,1.000000
24,Viewpoint Locomotion,0.6666666865348816,0.0598958320915699,0.3333333432674408,Turn Right,Right,True,True,viewpoint_locomotion,0.000000 0.000000 0.000000 0.333333,0.000000 0.059896,0.666368,0.019962,-0.239583,0.000000,0.321299,0.088760,0.333333,0.000000,0.059896,0.000000,0.333333,0.059896,0.666667
27,Turn Right,1.0,0.1796875,0.0,Turn Right,None,True,False,viewpoint_change,0.000000 0.000000 0.000000 0.000000,0.000000 0.179688,0.666368,0.019962,-0.059896,0.000000,0.000000,0.000000,0.000000,0.000000,0.179688,0.000000,0.000000,0.179688,1.000000
30,Viewpoint Locomotion,1.0,0.02018229104578495,0.6666666865348816,Turn Left,Backward,True,True,viewpoint_locomotion,0.000000 0.666667 0.000000 0.000000,0.000000 -0.020182,0.712988,-0.645072,-0.080078,0.000000,0.046620,-0.665035,0.000000,-0.666667,-0.020182,0.000000,0.666667,0.020182,1.000000
33,Viewpoint Locomotion,1.0,0.080078125,1.0,Turn Right,Walk,True,True,viewpoint_locomotion,1.000000 0.000000 0.000000 0.000000,0.000000 0.080078,0.672959,0.354126,0.000000,0.000000,-0.040028,0.999199,0.000000,1.000000,0.080078,0.000000,1.000000,0.080078,1.000000
36,Walk,1.0,0.0,1.0540925565309005,None,Walk,False,True,locomotion,1.000000 0.000000 0.333333 0.000000,0.000000 0.000000,0.339626,1.354126,0.000000,0.000000,-0.333333,1.000000,-0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
39,Walk,1.0,0.0,1.2472191421996568,None,Walk,False,True,locomotion,1.000000 0.000000 0.666667 0.333333,0.000000 0.000000,0.006293,2.354126,0.000000,0.000000,-0.333333,1.000000,-0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
42,Viewpoint Locomotion,1.0,0.0400390625,1.201850436175566,Turn Left,Walk,True,True,viewpoint_locomotion,1.000000 0.000000 0.000000 0.666667,0.000000 -0.040039,0.652808,3.367271,-0.040039,0.000000,0.646515,1.013145,0.666667,1.000000,-0.040039,0.000000,1.201850,0.040039,1.000000
45,Viewpoint Locomotion,1.0,0.0400390625,1.0,Turn Right,Walk,True,True,viewpoint_locomotion,1.000000 0.000000 0.000000 0.000000,0.000000 0.040039,0.632789,4.367071,0.000000,0.000000,-0.020018,0.999800,0.000000,1.000000,0.040039,0.000000,1.000000,0.040039,1.000000
48,Walk,1.0,0.0,1.0,None,Walk,False,True,locomotion,1.000000 0.000000 0.000000 0.000000,0.000000 0.000000,0.632789,5.367071,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
51,Walk,1.0,0.0,1.4142135623730951,None,Walk,False,True,locomotion,1.000000 0.000000 1.000000 0.000000,0.000000 0.000000,-0.367211,6.367071,0.000000,0.000000,-1.000000,1.000000,-1.000000,1.000000,0.000000,0.000000,1.414214,0.000000,1.000000
