frame_index,reference_frame,middle_frame,current_frame,similarity,delete_frame,delete_range,memory_size,matching_points,orb_runtime_ms,lightglue_runtime_ms,runtime_ms,confidence,semantic_similarity,final_similarity,spatial_alpha,average_displacement,median_displacement,maximum_displacement,depth_runtime_ms,geometry_similarity,depth_difference,depth_metric,depth_cache_hit_reference,depth_cache_hit_current,memory_state,policy,transition,unified_memory_score,geometry_confidence,intent_state,estimator,decision,window_before,window_after,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,local_delta_x,local_delta_z,delta_yaw,delta_pitch,movement_magnitude,rotation_magnitude,pose_confidence,pose_delta_position,view_state,view_confidence,view_pose_distance,view_yaw_delta,nearest_view_frame_id,key_anchor_frame_id,key_anchor_type,key_anchor_reason,memory_selection_mode,memory_selection_target,memory_selection_anchor_type,memory_selection_reason,source_anchor_frame_id,source_anchor_locked,protected_anchor_ids,loop_closure_detected,turn_result,trajectory_motion_state,trajectory_direction,trajectory_frames,trajectory_distance,trajectory_should_progress,trajectory_confidence,revisit_gate_allow_retrieve,revisit_gate_allow_soft_reuse,revisit_gate_force_progress,revisit_gate_protect_current,revisit_gate_reason,selection_is_hard_retrieve,selection_is_soft_reuse,selection_is_progress,action_mode,action_mode_confidence,action_mode_reason,scheduler_path,turn_state,turn_confidence,turn_duration,turn_direction,turn_reason,window_layout_type,window_reason,view_intent,move_intent,has_view_motion,has_move_motion,action_explanation,use_pose_memory
9,2,5,9,0.9852470951154828,3,3-4-5,9,225280,0.0,0.0,717.0511158183217,0.9852470951154828,0.9852470951154828,0.9852470951154828,0.0,0.0,0.0,0.0,717.0511158183217,0.9852470951154828,0.014752904884517193,l1,False,False,KEEP,physmem_rule,action_mode_view_rotation_protect|mode=Viewpoint Locomotion|turn=TurnStart|view=Novel View|selection=protect_current|trajectory=Starting:right|prev=KEEP,0.6557532177009044,0.9852470951154828,Viewpoint Locomotion,depth,physmem_keep,0 1 2 3 4 5 6 7 8,0 1 2 6 7 8 9 10 11,0.6663677496442973,0.01996229369068322,-0.0598958320915699,0.0,0.6663677496442973,0.01996229369068322,0.6666666865348816,0.0,-0.0598958320915699,0.0,0.6666666865348816,0.0598958320915699,1.0,0.6666666865348816,Novel View,0.0,inf,inf,,,,,protect_current,,,move=0.6667:view=0.0599:Viewpoint Locomotion,2,True,2,False,TurnStart,Starting,right,1,0.6666666865348816,False,0.75,False,False,True,False,novel_view_progress,False,False,False,Viewpoint Locomotion,0.6666666865348816,move=0.6667:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->protect_current,TurnStart,0.7486979011446238,1,left,rotation=0.0599,protect_current,TurnStart:protect_current,Turn Left,Right,True,True,viewpoint_locomotion,True
12,2,8,12,0.9785992968827486,6,6-7-8,9,225280,0.0,0.0,143.5985341668129,0.9785992968827486,0.9785992968827486,0.9785992968827486,0.0,0.0,0.0,0.0,143.5985341668129,0.9785992968827486,0.021400703117251396,l1,True,False,KEEP,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=View Rotation Only|turn=TurnInProgress|view=View Transition|selection=soft_reuse_anchor|trajectory=Idle:none|prev=KEEP,0.6410883074755385,0.9785992968827486,Turn Left,depth,physmem_keep,0 1 2 6 7 8 9 10 11,0 1 2 9 10 11 12 13 14,0.6663677496442973,0.01996229369068322,-0.2395833320915699,0.0,0.0,0.0,0.0,0.0,-0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,9,,,,soft_reuse_anchor,2,source_view_anchor,loop_closure:TurnInProgress:0.0000:0.1797,2,True,2,True,ReturnToKnownView,Idle,none,0,0.0,False,0.0,False,False,False,True,view_transition,False,True,False,View Rotation Only,0.998263888888889,view=0.1797:Turn Left,View Rotation Only->soft_reuse_anchor,TurnInProgress,1.0,2,left,rotation=0.1797,soft_reuse_anchor,TurnInProgress:soft_reuse_anchor,Turn Left,None,True,False,viewpoint_change,True
15,2,11,15,0.9777262173593044,9,9-10-11,9,225280,0.0,0.0,140.51251206547022,0.9777262173593044,0.9777262173593044,0.9777262173593044,0.0,0.0,0.0,0.0,140.51251206547022,0.9777262173593044,0.022273782640695572,l1,True,False,KEEP,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=soft_reuse_anchor|trajectory=Starting:left|prev=KEEP,0.7428764910887367,0.9777262173593044,Viewpoint Locomotion,depth,physmem_keep,0 1 2 9 10 11 12 13 14,0 1 2 12 13 14 15 16 17,0.345069132957115,-0.06879758828733987,-0.2994791641831398,0.0,-0.32129861668718235,-0.08875988197802309,-0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.6666666865348816,0.3333333432674408,Known View,0.5377178604598918,0.3333333432674408,0.2395833320915699,9,,,,soft_reuse_anchor,2,source_view_anchor,loop_closure:TurnInProgress:0.3333:0.2396,2,True,2,True,ReturnToKnownView,Starting,left,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,False,True,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->soft_reuse_anchor,TurnInProgress,0.7486979011446238,3,left,rotation=0.0599,soft_reuse_anchor,TurnInProgress:soft_reuse_anchor,Turn Left,Left,True,True,viewpoint_locomotion,True
18,2,14,18,0.9336401149630547,12,12-13-14,9,225280,0.0,0.0,133.69543803855777,0.9336401149630547,0.9336401149630547,0.9336401149630547,0.0,0.0,0.0,0.0,133.69543803855777,0.9336401149630547,0.06635988503694534,l1,True,False,KEEP,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=soft_reuse_anchor|trajectory=Starting:right|prev=KEEP,0.5109737452874621,0.9336401149630547,Viewpoint Locomotion,depth,physmem_keep,0 1 2 12 13 14 15 16 17,0 1 2 15 16 17 18 19 20,0.6604784219946442,0.03903607121974452,-0.3593749962747097,0.0,0.3154092890375293,0.10783365950708439,0.3333333432674408,0.0,-0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,1.0,0.3333333432674408,Known View,0.6555028474294428,0.01996229369068325,0.2994791641831398,9,,,,soft_reuse_anchor,2,source_view_anchor,loop_closure:TurnInProgress:0.0200:0.2995,2,True,2,True,ReturnToKnownView,Starting,right,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,False,True,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->soft_reuse_anchor,TurnInProgress,0.7486979011446238,4,left,rotation=0.0599,soft_reuse_anchor,TurnInProgress:soft_reuse_anchor,Turn Left,Right,True,True,viewpoint_locomotion,True
21,2,17,21,0.9453524500131607,15,15-16-17,9,225280,0.0,0.0,129.1978475637734,0.9453524500131607,0.9453524500131607,0.9453524500131607,0.0,0.0,0.0,0.0,129.1978475637734,0.9453524500131607,0.054647549986839294,l1,True,False,KEEP,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=soft_reuse_anchor|trajectory=Starting:left|prev=KEEP,0.5319177289874315,0.9453524500131607,Viewpoint Locomotion,depth,physmem_keep,0 1 2 15 16 17 18 19 20,0 1 2 18 19 20 21 22 23,0.34506913295711494,-0.06879758828733987,-0.2994791641831398,0.0,-0.3154092890375293,-0.10783365950708439,-0.3333333432674408,0.0,0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,1.0,0.3333333432674408,Known View,1.0,5.551115123125783e-17,0.0,15,,,,soft_reuse_anchor,2,source_view_anchor,loop_closure:TurnInProgress:0.3333:0.2396,2,True,2,True,ReturnToKnownView,Starting,left,1,0.3333333432674408,False,0.75,False,False,False,False,known_view_blocked_by_motion:0.3333,False,True,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->soft_reuse_anchor,TurnInProgress,0.7486979011446238,5,right,rotation=0.0599,soft_reuse_anchor,TurnInProgress:soft_reuse_anchor,Turn Right,Left,True,True,viewpoint_locomotion,True
24,2,20,24,0.9458209313452244,18,18-19-20,9,225280,0.0,0.0,78.61670013517141,0.9458209313452244,0.9458209313452244,0.9458209313452244,0.0,0.0,0.0,0.0,78.61670013517141,0.9458209313452244,0.05417906865477562,l1,True,False,KEEP,physmem_rule,selection_loop_closure_hard_retrieve_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Revisit|selection=hard_retrieve_anchor|trajectory=Starting:right|prev=KEEP,0.6574577201303191,0.9458209313452244,Viewpoint Locomotion,depth,physmem_keep,0 1 2 18 19 20 21 22 23,0 1 2 21 22 23 24 25 26,0.6663677496442972,0.019962293690683225,-0.2395833320915699,0.0,0.32129861668718235,0.08875988197802309,0.3333333432674408,0.0,0.0598958320915699,0.0,0.3333333432674408,0.0598958320915699,0.6666666865348816,0.3333333432674408,Revisit,0.7433035714285714,1.1107649934270853e-16,0.1796875,9,,,,hard_retrieve_anchor,2,source_view_anchor,loop_closure:TurnInProgress:0.0000:0.1797,2,True,2,True,ReturnToKnownView,Starting,right,1,0.3333333432674408,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.3333,True,False,False,Viewpoint Locomotion,0.3333333432674408,move=0.3333:view=0.0599:Viewpoint Locomotion,Viewpoint Locomotion->hard_retrieve_anchor,TurnInProgress,0.7486979011446238,6,right,rotation=0.0599,hard_retrieve_anchor,TurnInProgress:hard_retrieve_anchor,Turn Right,Right,True,True,viewpoint_locomotion,True
27,2,23,27,0.9499628245830536,21,21-22-23,9,225280,0.0,0.0,141.02669060230255,0.9499628245830536,0.9499628245830536,0.9499628245830536,0.0,0.0,0.0,0.0,141.02669060230255,0.9499628245830536,0.05003717541694641,l1,True,False,KEEP,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=View Rotation Only|turn=TurnInProgress|view=View Transition|selection=soft_reuse_anchor|trajectory=Idle:none|prev=KEEP,0.5296861688934956,0.9499628245830536,Turn Right,depth,physmem_keep,0 1 2 21 22 23 24 25 26,0 1 2 24 25 26 27 28 29,0.6663677496442972,0.019962293690683225,-0.0598958320915699,0.0,0.0,0.0,0.0,0.0,0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,24,,,,soft_reuse_anchor,2,source_view_anchor,loop_closure:TurnInProgress:0.0000:0.0000,2,True,2,True,ReturnToKnownView,Idle,none,0,0.0,False,0.0,False,False,False,True,view_transition,False,True,False,View Rotation Only,0.998263888888889,view=0.1797:Turn Right,View Rotation Only->soft_reuse_anchor,TurnInProgress,1.0,7,right,rotation=0.1797,soft_reuse_anchor,TurnInProgress:soft_reuse_anchor,Turn Right,None,True,False,viewpoint_change,True
30,2,26,30,0.9337360262870789,24,24-25-26,9,225280,0.0,0.0,134.22895316034555,0.9337360262870789,0.9337360262870789,0.9337360262870789,0.0,0.0,0.0,0.0,134.22895316034555,0.9337360262870789,0.06626397371292114,l1,True,False,KEEP,physmem_rule,selection_loop_closure_hard_retrieve_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Revisit|selection=hard_retrieve_anchor|trajectory=Starting:backward|prev=KEEP,0.5084265409056961,0.9337360262870789,Viewpoint Locomotion,depth,physmem_keep,0 1 2 24 25 26 27 28 29,0 1 2 27 28 29 30 31 32,0.7129876555922678,-0.6450723334565056,-0.08007812313735485,0.0,0.046619905947970657,-0.6650346271471889,0.0,-0.6666666865348816,-0.02018229104578495,0.0,0.6666666865348816,0.02018229104578495,1.0,0.6666666865348816,Revisit,0.5267236979589576,0.6666666865348816,0.02018229104578495,9,,,,hard_retrieve_anchor,2,source_view_anchor,loop_closure:TurnInProgress:0.6667:0.0202,2,True,2,True,ReturnToKnownView,Starting,backward,1,0.6666666865348816,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.6667,True,False,False,Viewpoint Locomotion,0.6666666865348816,move=0.6667:view=0.0202:Viewpoint Locomotion,Viewpoint Locomotion->hard_retrieve_anchor,TurnInProgress,0.2522786380723119,8,left,rotation=0.0202,hard_retrieve_anchor,TurnInProgress:hard_retrieve_anchor,Turn Left,Backward,True,True,viewpoint_locomotion,True
33,2,29,33,0.9297498315572739,27,27-28-29,9,225280,0.0,0.0,157.9460739158094,0.9297498315572739,0.9297498315572739,0.9297498315572739,0.0,0.0,0.0,0.0,157.9460739158094,0.9297498315572739,0.07025016844272614,l1,True,False,KEEP,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=soft_reuse_anchor|trajectory=Starting:forward|prev=KEEP,0.4883988205157469,0.9297498315572739,Viewpoint Locomotion,depth,physmem_keep,0 1 2 27 28 29 30 31 32,0 1 2 30 31 32 33 34 35,0.672959292043139,0.3541262104333355,1.862645149230957e-09,0.0,-0.04002836354912891,0.9991985438898411,0.0,1.0,0.080078125,0.0,1.0,0.080078125,1.0,1.0,Known View,0.41520195891044703,0.3153372289261253,0.35937499813735485,18,,,,soft_reuse_anchor,2,source_view_anchor,loop_closure:TurnInProgress:0.3342:0.0599,2,True,2,True,ReturnToKnownView,Starting,forward,1,1.0,False,0.75,False,False,False,False,known_view_blocked_by_motion:1.0000,False,True,False,Viewpoint Locomotion,1.0,move=1.0000:view=0.0801:Viewpoint Locomotion,Viewpoint Locomotion->soft_reuse_anchor,TurnInProgress,1.0,9,right,rotation=0.0801,soft_reuse_anchor,TurnInProgress:soft_reuse_anchor,Turn Right,Walk,True,True,viewpoint_locomotion,True
36,2,32,36,0.89850252866745,0,0-1-2,9,225280,0.0,0.0,172.62502992525697,0.89850252866745,0.89850252866745,0.89850252866745,0.0,0.0,0.0,0.0,172.62502992525697,0.89850252866745,0.10149747133255005,l1,True,False,INSERT,physmem_rule,action_mode_locomotion_orb_insert|mode=Locomotion Only|turn=PostTurnStabilization|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=KEEP,0.4678533329633515,0.89850252866745,Walk,depth,physmem_insert,0 1 2 30 31 32 33 34 35,30 31 32 33 34 35 36 37 38,0.33962595063834333,1.3541262110542172,1.862645149230957e-09,0.0,-0.33333334140479565,1.0000000006208818,-0.3333333432674408,1.0,0.0,0.0,1.0540925565309005,0.0,1.0,1.0540925565309005,Novel View,0.5,1.0540925565309003,0.0,33,,,,orb_locomotion,,,move=1.0541:Walk,,False,,False,,Progressing,forward,2,2.0540925565309003,True,1.0,False,False,False,False,locomotion_only_orb_dominant,False,False,False,Locomotion Only,1.0,move=1.0541:Walk,Locomotion Only->orb_locomotion,PostTurnStabilization,1.0,1,right,mouse_stopped_after_turn,orb_locomotion,PostTurnStabilization:orb_locomotion,None,Walk,False,True,locomotion,True
