frame_index,reference_frame,middle_frame,current_frame,similarity,delete_frame,delete_range,memory_size,matching_points,orb_runtime_ms,lightglue_runtime_ms,runtime_ms,confidence,semantic_similarity,final_similarity,spatial_alpha,average_displacement,median_displacement,maximum_displacement,depth_runtime_ms,geometry_similarity,depth_difference,depth_metric,depth_cache_hit_reference,depth_cache_hit_current,memory_state,policy,transition,unified_memory_score,geometry_confidence,intent_state,estimator,decision,window_before,window_after,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,local_delta_x,local_delta_z,delta_yaw,delta_pitch,movement_magnitude,rotation_magnitude,pose_confidence,pose_delta_position,view_state,view_confidence,view_pose_distance,view_yaw_delta,nearest_view_frame_id,key_anchor_frame_id,key_anchor_type,key_anchor_reason,memory_selection_mode,memory_selection_target,memory_selection_anchor_type,memory_selection_reason,source_anchor_frame_id,source_anchor_locked,protected_anchor_ids,loop_closure_detected,turn_result,policy_mode,allow_memory_query,allow_hard_retrieve,allow_soft_reuse,query_result,candidate_count,best_candidate_frame_id,best_candidate_score,best_candidate_pose_distance,best_candidate_yaw_delta,best_candidate_frame_gap,best_candidate_first_visit,best_candidate_visit_age,best_candidate_cluster_id,best_candidate_first_visit_frame_id,target_window_ids,retrieved_window_ids,window_rank_reason,trajectory_motion_state,trajectory_direction,trajectory_frames,trajectory_distance,trajectory_should_progress,trajectory_confidence,revisit_gate_allow_retrieve,revisit_gate_allow_soft_reuse,revisit_gate_force_progress,revisit_gate_protect_current,revisit_gate_reason,revisit_type,selection_is_hard_retrieve,selection_is_soft_reuse,selection_is_progress,action_mode,action_mode_confidence,action_mode_reason,scheduler_path,turn_state,turn_confidence,turn_duration,turn_direction,turn_reason,window_layout_type,window_reason,view_intent,move_intent,has_view_motion,has_move_motion,action_explanation,use_pose_memory,use_pose_path_memory,reference_override_used,retrieved_reference_active,retrieved_reference_ids,anchor_frame_id,anchor_distance,anchor_gap,anchor_lag,anchor_advance_triggered
9,2,5,9,0.9482377022504807,3,3-4-5,9,225280,0.0,0.0,993.6818797141314,0.9482377022504807,0.9482377022504807,0.9482377022504807,0.0,0.0,0.0,0.0,993.6818797141314,0.9482377022504807,0.05176229774951935,l1,False,False,KEEP,physmem_rule,action_mode_view_rotation_protect|mode=View Rotation Only|turn=TurnStart|view=Novel View|selection=protect_current|trajectory=Idle:none|prev=KEEP,0.7499934439318996,0.9482377022504807,Turn Right,depth,physmem_keep,0 1 2 3 4 5 6 7 8,0 1 2 6 7 8 9 10 11,0.0,0.0,0.0598958320915699,0.0,0.0,0.0,0.0,0.0,0.0598958320915699,0.0,0.0,0.0598958320915699,0.598958320915699,0.0,Novel View,0.0,inf,inf,,,,,protect_current,,,view=0.0599:Turn Right,2,True,2,False,TurnStart,TurnStartPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Idle,none,0,0.0,False,0.0,False,False,False,True,view_rotation_only,,False,False,False,View Rotation Only,0.3327546227309439,view=0.0599:Turn Right,View Rotation Only->protect_current,TurnStart,0.7486979011446238,1,right,rotation=0.0599,protect_current,TurnStart:protect_current,Turn Right,None,True,False,viewpoint_change,True,True,False,False,,2,-1.0,7,-1.0,False
12,2,8,12,0.8953705206513405,0,0-1,9,225280,0.0,0.0,91.87281969934702,0.8953705206513405,0.8953705206513405,0.8953705206513405,0.0,0.0,0.0,0.0,91.87281969934702,0.8953705206513405,0.10462947934865952,l1,True,False,INSERT,physmem_rule,turn_in_progress_soft_insert|mode=View Rotation Only|turn=TurnInProgress|view=View Transition|selection=turn_transition|trajectory=Idle:none|prev=KEEP,0.5595831022790092,0.8953705206513405,Turn Right,depth,physmem_insert,0 1 2 6 7 8 9 10 11,2 6 7 8 9 10 11 12 13,0.0,0.0,0.2395833320915699,0.0,0.0,0.0,0.0,0.0,0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,9,,,,turn_transition,,,rotation=0.1797,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Idle,none,0,0.0,False,0.0,False,False,False,True,view_transition,,False,False,False,View Rotation Only,0.998263888888889,view=0.1797:Turn Right,View Rotation Only->turn_transition,TurnInProgress,1.0,2,right,rotation=0.1797,turn_transition,TurnInProgress:turn_transition,Turn Right,None,True,False,viewpoint_change,True,True,False,False,,2,-1.0,10,-1.0,False
15,7,10,14,0.9249854758381844,8,8-9-10,9,225280,0.0,0.0,154.49123596772552,0.9249854758381844,0.9249854758381844,0.9249854758381844,0.0,0.0,0.0,0.0,154.49123596772552,0.9249854758381844,0.07501452416181564,l1,False,False,KEEP,physmem_rule,turn_in_progress_soft_insert|insert_hysteresis_enter=0.35|mode=View Rotation Only|turn=TurnInProgress|view=Known View|selection=turn_transition|trajectory=Idle:none|prev=INSERT,0.7741363215879865,0.9249854758381844,Turn Right,depth,physmem_keep,2 6 7 8 9 10 11 12 13,2 6 7 11 12 13 14 15 16,0.0,0.0,0.2994791641831398,0.0,0.0,0.0,0.0,0.0,0.0598958320915699,0.0,0.0,0.0598958320915699,0.598958320915699,0.0,Known View,0.7337962976760335,0.0,0.2395833320915699,9,,,,turn_transition,,,rotation=0.0599,2,True,2,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Idle,none,0,0.0,False,0.0,False,False,False,True,view_rotation_only,,False,False,False,View Rotation Only,0.3327546227309439,view=0.0599:Turn Right,View Rotation Only->turn_transition,TurnInProgress,0.7486979011446238,3,right,rotation=0.0599,turn_transition,TurnInProgress:turn_transition,Turn Right,None,True,False,viewpoint_change,True,True,False,False,,7,-1.0,7,-1.0,False
18,7,13,17,0.9357589855790138,11,11-12-13,9,225280,0.0,0.0,89.2553417943418,0.9357589855790138,0.9357589855790138,0.9357589855790138,0.0,0.0,0.0,0.0,89.2553417943418,0.9357589855790138,0.06424101442098618,l1,True,False,KEEP,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|turn=PostTurnStabilization|view=Novel View|selection=orb_locomotion|trajectory=Starting:forward|prev=KEEP,0.6060903086006839,0.9357589855790138,Walk,depth,physmem_keep,2 6 7 11 12 13 14 15 16,2 6 7 14 15 16 17 18 19,0.29502259314027096,0.9554902770498453,0.2994791641831398,0.0,0.29502259314027096,0.9554902770498453,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,Novel View,0.5,1.0,0.2395833320915699,9,,,,orb_locomotion,,,move=1.0000:Walk,,False,,False,,LocomotionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,forward,1,1.0,False,0.75,False,False,False,False,locomotion_only_orb_dominant,,False,False,False,Locomotion Only,1.0,move=1.0000:Walk,Locomotion Only->orb_locomotion,PostTurnStabilization,1.0,1,right,mouse_stopped_after_turn,orb_locomotion,PostTurnStabilization:orb_locomotion,None,Walk,False,True,locomotion,True,True,False,False,,7,-1.0,10,-1.0,False
21,7,16,20,0.900989942252636,14,14-15-16,9,225280,0.0,0.0,53.54474997147918,0.900989942252636,0.900989942252636,0.900989942252636,0.0,0.0,0.0,0.0,53.54474997147918,0.900989942252636,0.09901005774736404,l1,True,False,KEEP,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|turn=PostTurnStabilization|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=KEEP,0.5755584084626104,0.900989942252636,Walk,depth,physmem_keep,2 6 7 14 15 16 17 18 19,2 6 7 17 18 19 20 21 22,0.5900451862805419,1.9109805540996907,0.2994791641831398,0.0,0.29502259314027096,0.9554902770498453,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,Novel View,0.5,1.0,0.0,17,,,,orb_locomotion,,,move=1.0000:Walk,,False,,False,,LocomotionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Progressing,forward,2,2.0,True,1.0,False,False,False,False,locomotion_only_orb_dominant,,False,False,False,Locomotion Only,1.0,move=1.0000:Walk,Locomotion Only->orb_locomotion,PostTurnStabilization,0.5,2,right,mouse_stopped_after_turn,orb_locomotion,PostTurnStabilization:orb_locomotion,None,Walk,False,True,locomotion,True,True,False,False,,7,-1.0,13,-1.0,False
24,7,19,23,0.9404751807451248,17,17-18-19,9,225280,0.0,0.0,134.88761987537146,0.9404751807451248,0.9404751807451248,0.9404751807451248,0.0,0.0,0.0,0.0,134.88761987537146,0.9404751807451248,0.05952481925487518,l1,True,False,KEEP,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|turn=StableNewView|view=Known View|selection=orb_locomotion|trajectory=Starting:backward|prev=KEEP,0.6016495415479113,0.9404751807451248,Backward,depth,physmem_keep,2 6 7 17 18 19 20 21 22,2 6 7 20 21 22 23 24 25,0.29502259314027096,0.9554902770498453,0.2994791641831398,0.0,-0.29502259314027096,-0.9554902770498453,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,Known View,1.0,0.0,0.0,17,,,,orb_locomotion,,,move=1.0000:Backward,,False,,False,,LocomotionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,backward,1,1.0,False,0.75,False,False,False,False,locomotion_only_orb_dominant,,False,False,False,Locomotion Only,1.0,move=1.0000:Backward,Locomotion Only->orb_locomotion,StableNewView,1.0,0,right,stable,orb_locomotion,StableNewView:orb_locomotion,None,Backward,False,True,locomotion,True,True,False,False,,7,-1.0,16,-1.0,False
27,7,22,26,0.9134692624211311,20,20-21-22,9,225280,0.0,0.0,124.58023009821773,0.9134692624211311,0.9134692624211311,0.9134692624211311,0.0,0.0,0.0,0.0,124.58023009821773,0.9134692624211311,0.08653073757886887,l1,True,False,KEEP,physmem_rule,selection_loop_closure_retrieve_window|mode=Locomotion Only|turn=StableNewView|view=Revisit|selection=retrieve_window|trajectory=Progressing:backward|prev=KEEP,0.521411864854049,0.9134692624211311,Backward,depth,physmem_keep,2 6 7 20 21 22 23 24 25,2 6 7 23 24 25 26 27 28,0.0,0.0,0.2994791641831398,0.0,-0.29502259314027096,-0.9554902770498453,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,Revisit,0.657738097012043,0.0,0.2395833320915699,9,,,,retrieve_window,9,pose_path_window,pose_path_window:yaw=0.2396:pose=0.0000:gap=17:fid=0.984:first=1.00:age=1.00:stab=1.000:cluster=0:score=0.774,7,True,7 0 1 2,True,ReturnToKnownView,RevisitPolicy,True,True,True,matched_window,6,9,0.7741796697485064,0.0,0.2395833320915699,17,1.0,1.0,-1,9,0 1 2 3 4 5 6 7 8,0 1 2 3 4 5 6 7 8,yaw=0.2396:pose=0.0000:gap=17:fid=0.984:first=1.00:age=1.00:stab=1.000:cluster=0:score=0.774,Progressing,backward,2,2.0,True,1.0,True,False,False,False,dynamic_revisit:traveled=2.000,dynamic,False,False,False,Locomotion Only,1.0,move=1.0000:Backward,Locomotion Only->retrieve_window,StableNewView,1.0,0,right,stable,retrieve_window,StableNewView:retrieve_window,None,Backward,False,True,locomotion,True,True,False,True,0 1 2 3 4 5 6 7 8,7,-1.0,19,-1.0,False
30,2,25,29,0.9353449940681458,23,23-24-25,9,225280,0.0,0.0,54.15733205154538,0.9353449940681458,0.9353449940681458,0.9353449940681458,0.0,0.0,0.0,0.0,54.15733205154538,0.9353449940681458,0.06465500593185425,l1,True,False,KEEP,physmem_rule,action_mode_view_rotation_protect|mode=Viewpoint Locomotion|turn=TurnStart|view=Revisit|selection=protect_current|trajectory=Starting:forward|prev=KEEP,0.5839028989847195,0.9353449940681458,Viewpoint Locomotion,depth,physmem_keep,2 6 7 23 24 25 26 27 28,2 6 7 26 27 28 29 30 31,-0.228456122124736,0.4123469846275425,0.2594401016831398,0.0,-0.228456122124736,0.4123469846275425,-0.3333333432674408,0.3333333432674408,-0.0400390625,0.0,0.47140453483998124,0.0400390625,0.9428090696799624,0.47140453483998124,Revisit,0.4006670678330079,0.47140453483998124,0.1995442695915699,9,,,,protect_current,,,move=0.4714:view=0.0400:Viewpoint Locomotion,7,True,7,False,TurnStart,TurnStartPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Starting,forward,1,0.4714045348399812,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.4714,,False,False,False,Viewpoint Locomotion,0.47140453483998124,move=0.4714:view=0.0400:Viewpoint Locomotion,Viewpoint Locomotion->protect_current,TurnStart,0.50048828125,1,left,rotation=0.0400,protect_current,TurnStart:protect_current,Turn Left,Walk,True,True,viewpoint_locomotion,True,True,True,True,0 1 2 3 4 5 6 7 8,7,-1.0,22,-1.0,False
33,2,28,32,0.9158265963196754,2,2-6,9,225280,0.0,0.0,84.49915098026395,0.9158265963196754,0.9158265963196754,0.9158265963196754,0.0,0.0,0.0,0.0,84.49915098026395,0.9158265963196754,0.08417340368032455,l1,True,False,INSERT,physmem_rule,turn_in_progress_soft_insert|trajectory_progress_bypasses_insert_hysteresis|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Novel View|selection=turn_transition|trajectory=Progressing:forward|prev=KEEP,0.5355650236388511,0.9158265963196754,Viewpoint Locomotion,depth,physmem_insert,2 6 7 26 27 28 29 30 31,7 26 27 28 29 30 31 32 33,-0.6614964053879955,1.5334716806389515,0.1793619766831398,0.0,-0.4330402832632595,1.121124696011409,-0.6666666865348816,1.0,-0.080078125,0.0,1.201850436175566,0.080078125,1.0,1.201850436175566,Novel View,0.5,1.1175827027295793,0.1201171875,17,32,forward_anchor,hybrid_forward_progress,turn_transition,,,rotation=0.0801,7,True,7,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Progressing,forward,2,1.673254971015547,True,1.0,False,False,True,False,hybrid_forward_progress,,False,False,False,Viewpoint Locomotion,1.0,move=1.2019:view=0.0801:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,1.0,2,left,rotation=0.0801,turn_transition,TurnInProgress:turn_transition,Turn Left,Walk,True,True,viewpoint_locomotion,True,True,True,True,0 1 2 3 4 5 6 7 8,7,-1.0,25,-1.0,False
36,2,30,34,0.9347572475671768,26,26-27,9,225280,0.0,0.0,78.0165190808475,0.9347572475671768,0.9347572475671768,0.9347572475671768,0.0,0.0,0.0,0.0,78.0165190808475,0.9347572475671768,0.06524275243282318,l1,True,False,INSERT,physmem_rule,turn_in_progress_soft_insert|trajectory_progress_bypasses_insert_hysteresis|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=turn_transition|trajectory=Progressing:forward|prev=INSERT,0.5519961573409531,0.9347572475671768,Viewpoint Locomotion,depth,physmem_insert,7 26 27 28 29 30 31 32 33,7 28 29 30 31 32 33 34 35,-0.5294543151651098,2.1869312106367698,0.2194010391831398,0.0,0.13204209022288574,0.6534595299978181,0.0,0.6666666865348816,0.0400390625,0.0,0.6666666865348816,0.0400390625,1.0,0.6666666865348816,Known View,0.5633552783454945,0.6666666865348817,0.0400390625,32,,,,turn_transition,,,rotation=0.0400,7,True,7,False,UnstableTransition,ViewTransitionPolicy,False,False,False,,0,,0.0,0.0,0.0,0,0.0,0.0,-1,,,,,Progressing,forward,3,2.3399216575504287,True,1.0,False,False,True,False,hybrid_forward_progress,,False,False,False,Viewpoint Locomotion,0.6666666865348816,move=0.6667:view=0.0400:Viewpoint Locomotion,Viewpoint Locomotion->turn_transition,TurnInProgress,0.50048828125,3,right,rotation=0.0400,turn_transition,TurnInProgress:turn_transition,Turn Right,Walk,True,True,viewpoint_locomotion,True,True,True,False,,27,-1.0,7,-1.0,False
